ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
89,gpt-3.5-turbo,2024-September-02 11:36:18,2024-September-02 11:36:23,2.359533072,2.861402035,5.220935822,20,570,223,1.232759237,100.00%,FALSE
90,gpt-3.5-turbo,2024-September-02 11:36:28,2024-September-02 11:36:54,22.48215604,3.006081581,25.4882381,20,570,217,1.162580729,100.00%,FALSE
91,gpt-4,2024-September-02 11:38:56,2024-September-02 11:39:07,8.268773079,3.201630592,11.47040439,20,570,214,1.249677896,100.00%,FALSE
92,gpt-4,2024-September-02 11:39:12,2024-September-02 11:39:26,10.44201541,2.877631426,13.31964827,20,570,215,1.192160845,100.00%,FALSE
93,gpt-4,2024-September-02 11:39:30,2024-September-02 11:39:42,8.347359419,3.071891785,11.41925335,20,570,216,1.227504253,100.00%,FALSE
94,gpt-4,2024-September-02 11:39:47,2024-September-02 11:39:57,7.542450666,3.202116966,10.74456883,20,570,221,1.245383024,100.00%,FALSE
95,gpt-4,2024-September-02 11:40:02,2024-September-02 11:40:15,9.881847858,2.935413122,12.8172617,20,570,218,1.086216927,100.00%,FALSE
96,gpt-4,2024-September-02 11:40:20,2024-September-02 11:40:30,6.855186939,2.900238991,9.755427122,20,570,215,1.19397378,100.00%,FALSE
97,gpt-4,2024-September-02 11:40:35,2024-September-02 11:40:47,8.857815981,3.20246172,12.06027865,20,570,217,1.246642828,100.00%,FALSE
98,gpt-4,2024-September-02 11:40:52,2024-September-02 11:41:03,8.394649506,2.948044062,11.342695,20,570,236,1.148715496,100.00%,FALSE
99,gpt-4,2024-September-02 11:41:08,2024-September-02 11:41:21,9.781839848,2.943892002,12.72573376,20,570,235,1.080219507,100.00%,FALSE
100,gpt-4,2024-September-02 11:41:26,2024-September-02 11:41:37,8.210804701,2.843493223,11.05429912,20,570,236,1.229589701,100.00%,FALSE
101,mistral-small,2024-September-02 11:54:14,2024-September-02 11:54:19,1.999019623,3.030916691,5.029937029,20,570,200,1.481681585,100.00%,FALSE
102,mistral-small,2024-September-02 11:54:24,2024-September-02 11:54:29,2.020533562,2.909281969,4.929816961,20,570,191,1.536523342,100.00%,FALSE
103,mistral-small,2024-September-02 11:54:35,2024-September-02 11:54:37,2,0,2,20,570,0,1.382276058,0,TRUE
104,mistral-small,2024-September-02 11:54:42,2024-September-02 11:54:47,1.892054081,2.941482782,4.833538055,20,570,190,1.350633383,100.00%,FALSE
105,mistral-small,2024-September-02 11:54:52,2024-September-02 11:54:57,2.084891796,2.762470245,4.847362995,20,570,203,1.188642263,100.00%,FALSE
