ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
40,gpt-3.5-turbo,advancements,2024-September-02 18:13:31,2024-September-02 18:13:42,3.767565727,3.104388714,6.871955395,10,626,1265,3.306494713,100.0%,false,None,
41,gpt-3.5-turbo,advancements,2024-September-02 18:13:45,2024-September-02 18:13:55,3.193559408,3.167892933,6.361453772,10,626,989,2.42561388,100.0%,false,None,
42,gpt-3.5-turbo,advancements,2024-September-02 18:13:58,2024-September-02 18:14:07,3.885481358,2.726378679,6.611860991,20,626,1174,2.268421888,100.0%,false,None,
43,mistral-small,advancements,2024-September-02 18:14:10,2024-September-02 18:14:20,3.191180944,2.856239796,6.047421932,10,626,937,2.56311202,100.0%,false,None,
44,mistral-small,advancements,2024-September-02 18:14:22,2024-September-02 18:14:32,3.992139816,2.77678442,6.768925428,10,626,967,2.180379391,100.0%,false,None,
43,gpt-3.5-turbo,advancements,2024-September-02 18:14:10,2024-September-02 18:14:40,23.315803766,2.823212385,26.139017582,10,626,975,2.512764931,100.0%,false,None,
45,mistral-small,advancements,2024-September-02 18:14:35,2024-September-02 18:14:46,4.642378092,2.862313271,7.504692554,10,626,1592,2.318979025,100.0%,false,None,
45,gpt-3.5-turbo,advancements,2024-September-02 18:14:42,2024-September-02 18:14:53,4.904040813,2.882183313,7.786225319,10,626,1595,2.411987305,100.0%,false,None,
46,mistral-small,advancements,2024-September-02 18:14:48,2024-September-02 18:14:59,4.284832716,2.690164566,6.974998713,10,626,1080,2.349782467,100.0%,false,None,
47,gpt-4,hyperloop_specifications,2024-September-02 18:15:19,2024-September-02 18:15:33,6.519310713,3.014553547,9.533865213,10,531,440,3.717978954,100.0%,false,None,
48,gpt-4,hyperloop_specifications,2024-September-02 18:15:35,2024-September-02 18:15:48,5.334510326,3.183812618,8.518323898,10,531,462,3.044950962,100.0%,false,None,
49,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:15:51,2024-September-02 18:15:59,1.200168133,2.651253462,3.851422548,10,531,665,3.136080503,100.0%,false,None,
49,gpt-4,hyperloop_specifications,2024-September-02 18:15:51,2024-September-02 18:16:03,4.99925375,3.003007889,8.002262354,10,531,455,2.955031633,100.0%,false,None,
50,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:16:01,2024-September-02 18:16:10,1.522109032,2.794270277,4.316380739,10,531,699,2.982032299,100.0%,false,None,
50,gpt-4,hyperloop_specifications,2024-September-02 18:16:06,2024-September-02 18:16:22,5.629467487,6.772980452,12.402449369,0,531,550,3.008670568,100.0%,false,None,
51,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:16:12,2024-September-02 18:16:24,4.512999058,2.954735756,7.467735767,10,531,656,3.116584063,100.0%,false,None,
52,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:16:26,2024-September-02 18:16:34,1.510173082,2.851097107,4.361270905,10,531,871,2.776832819,100.0%,false,None,
51,gpt-4,hyperloop_specifications,2024-September-02 18:16:25,2024-September-02 18:16:37,6.199192047,2.753465891,8.952658892,10,531,544,2.845247269,100.0%,false,None,
53,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:16:37,2024-September-02 18:16:45,1.815184593,2.721776485,4.536962271,10,531,612,2.816732883,100.0%,false,None,
54,gemini-1.5-flash,advancements,2024-September-02 18:17:29,2024-September-02 18:17:38,3.10086894,2.95455122,6.055421114,10,626,1819,2.278174639,100.0%,false,None,
55,gemini-1.5-flash,advancements,2024-September-02 18:17:41,2024-September-02 18:17:50,2.152877569,2.979803085,5.132681608,10,626,1178,2.685575724,100.0%,false,None,
56,gemini-1.5-flash,advancements,2024-September-02 18:17:53,2024-September-02 18:18:01,2.351319075,2.820387363,5.171707153,20,626,1329,2.257705927,100.0%,false,None,
56,gemini-1.5-flash,advancements,2024-September-02 18:17:53,2024-September-02 18:18:02,2.536139011,2.727975845,5.264116287,20,626,1296,2.199697256,100.0%,false,None,
57,gemini-1.5-flash,advancements,2024-September-02 18:18:04,2024-September-02 18:18:12,2.426778316,2.796072483,5.222851515,20,626,1366,2.430519819,100.0%,false,None,
58,gemini-1.5-flash,advancements,2024-September-02 18:18:15,2024-September-02 18:18:24,2.384358406,2.840655088,5.225015163,10,626,1099,2.332840681,100.0%,false,None,
59,gpt-4,advancements,2024-September-02 18:19:55,2024-September-02 18:20:14,12.609102726,3.035607576,15.644711494,10,626,1036,2.334796906,100.0%,false,None,
60,gpt-4,advancements,2024-September-02 18:20:17,2024-September-02 18:20:34,10.742015123,2.794637442,13.536653757,10,626,893,2.47466135,100.0%,false,None,
61,gpt-4,advancements,2024-September-02 18:20:36,2024-September-02 18:20:56,13.405228853,2.876291037,16.281520844,10,626,1341,2.592229843,100.0%,false,None,
79,gpt-4,hyperloop_specifications,2024-September-02 18:26:23,2024-September-02 18:26:41,11.258159161,2.899165154,14.157325745,40,531,1317,2.958715439,100.0%,false,None,
81,gpt-4,hyperloop_specifications,2024-September-02 18:26:43,2024-September-02 18:27:00,10.445053816,2.779759645,13.224814892,20,531,875,3.024232626,100.0%,false,None,
