ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
83,gpt-4,advancements,2024-September-02 18:27:38,2024-September-02 18:28:05,21.208325863,2.912032127,24.120358944,20,626,2137,2.740742445,100.0%,false,None,
86,gemini-1.5-flash,advancements,2024-September-02 18:28:06,2024-September-02 18:28:16,3.646952391,3.110025406,6.756978989,20,626,2349,2.797858,100.0%,false,None,
86,gpt-4,advancements,2024-September-02 18:28:08,2024-September-02 18:28:31,15.791457415,3.719562769,19.511021137,20,626,1550,2.554950476,100.0%,false,None,
87,gpt-4,advancements,2024-September-02 18:28:34,2024-September-02 18:28:55,14.034403801,2.960156202,16.994561195,20,626,1373,2.372291088,100.0%,false,None,
88,gpt-4,advancements,2024-September-02 18:28:58,2024-September-02 18:29:21,16.314297915,3.025021553,19.339320183,20,626,1400,2.524485111,100.0%,false,None,
89,gpt-4,advancements,2024-September-02 18:29:24,2024-September-02 18:29:48,18.677473545,2.887646675,21.565121651,20,626,1563,2.458618164,100.0%,false,None,
90,mistral-small,hyperloop_specifications,2024-September-02 18:30:45,2024-September-02 18:30:58,0,0,0,20,0,0,3.285056353,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
91,mistral-small,hyperloop_specifications,2024-September-02 18:31:01,2024-September-02 18:31:13,0,0,0,47,0,0,3.118920088,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
90,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:30:58,2024-September-02 18:31:14,8.728755951,3.056803226,11.785559893,47,531,2592,3.096372843,100.0%,false,None,
92,mistral-small,hyperloop_specifications,2024-September-02 18:31:16,2024-September-02 18:31:29,0,0,0,47,0,0,2.878781796,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
92,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:31:17,2024-September-02 18:31:32,8.706352234,2.786233187,11.492586851,48,531,3137,2.850768805,100.0%,false,None,
93,mistral-small,hyperloop_specifications,2024-September-02 18:31:31,2024-September-02 18:31:46,0,0,0,48,0,0,3.011511087,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
93,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:31:35,2024-September-02 18:31:49,0,0,0,48,0,0,3.101615191,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
94,mistral-small,hyperloop_specifications,2024-September-02 18:31:49,2024-September-02 18:32:04,0,0,0,0,0,0,2.904580832,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
