ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,CORRECTNESS
44,gpt-3.5-turbo,2024-September-02 10:08:20,2024-September-02 10:08:43,20.64569736,1.158401728,21.80410028,100,936,1416,33,100.00%
45,gpt-3.5-turbo,2024-September-02 10:08:46,2024-September-02 10:08:49,0.480883837,1.123329163,1.604214668,100,936,1416,33,100.00%
46,gpt-3.5-turbo,2024-September-02 10:08:52,2024-September-02 10:09:15,20.61699629,1.206645012,21.82365632,100,936,1416,21,100.00%
47,gpt-3.5-turbo,2024-September-02 10:09:19,2024-September-02 10:09:41,20.61024952,1.090929747,21.70118046,100,936,1416,33,100.00%
48,gpt-3.5-turbo,2024-September-02 10:09:45,2024-September-02 10:09:48,0.501886129,1.082718611,1.584606409,100,936,1416,21,100.00%
49,gpt-3.5-turbo,2024-September-02 10:09:51,2024-September-02 10:10:14,20.62633514,1.187416315,21.81375289,100,936,1416,33,100.00%
50,gpt-3.5-turbo,2024-September-02 10:10:18,2024-September-02 10:10:41,20.67550612,1.209480286,21.88498783,100,936,1416,33,100.00%
51,gpt-4,2024-September-02 10:11:35,2024-September-02 10:11:38,0.900830507,1.200907707,2.101739168,100,936,1416,20,100.00%
52,gpt-4,2024-September-02 10:11:42,2024-September-02 10:11:44,0.884668112,1.096662521,1.981332779,100,936,1416,20,100.00%
53,gpt-4,2024-September-02 10:11:48,2024-September-02 10:11:51,0.677961111,1.090243578,1.768206596,100,936,1416,20,100.00%
54,gpt-4,2024-September-02 10:11:54,2024-September-02 10:12:17,20.85194612,1.166938543,22.01888537,100,936,1416,20,100.00%
55,gpt-4,2024-September-02 10:12:21,2024-September-02 10:12:24,1.033612728,1.040807009,2.074421406,100,936,1416,20,100.00%
56,gpt-4,2024-September-02 10:12:27,2024-September-02 10:12:50,20.89100933,1.201463938,22.0924747,100,936,1416,20,100.00%
57,gpt-4,2024-September-02 10:12:54,2024-September-02 10:13:17,20.91091561,1.113899946,22.02481723,100,936,1416,20,100.00%
58,gpt-4,2024-September-02 10:13:21,2024-September-02 10:13:24,0.793324709,1.283614159,2.07694006,100,936,1416,20,100.00%
59,gpt-4,2024-September-02 10:13:28,2024-September-02 10:13:50,20.88814259,1.107381582,21.9955256,100,936,1416,20,100.00%
60,gpt-4,2024-September-02 10:13:54,2024-September-02 10:14:17,20.81833243,1.382826328,22.20116019,100,936,1416,20,100.00%
61,mistral-small,2024-September-02 10:16:33,2024-September-02 10:16:35,0.523465157,1.216735601,1.74020195,100,936,1536,22,100.00%
62,mistral-small,2024-September-02 10:16:39,2024-September-02 10:16:42,0.602742672,1.133593082,1.736336946,100,936,1536,22,100.00%
63,mistral-small,2024-September-02 10:16:45,2024-September-02 10:16:48,0.591164351,1.044229031,1.635394335,100,936,1536,22,100.00%
64,mistral-small,2024-September-02 10:17:18,2024-September-02 10:17:21,0.650674582,1.113117933,1.763793945,100,936,1536,22,100.00%
65,mistral-small,2024-September-02 10:17:31,2024-September-02 10:17:33,0.461250544,1.177676439,1.638928413,100,936,1536,22,100.00%
66,mistral-small,2024-September-02 10:17:39,2024-September-02 10:17:42,0.514661551,1.094096899,1.60875988,100,936,1536,22,100.00%
67,mistral-small,2024-September-02 10:18:07,2024-September-02 10:18:10,0.502594948,1.202482224,1.70507884,100,936,1536,22,100.00%
68,mistral-small,2024-September-02 10:18:18,2024-September-02 10:18:20,0.671661854,1.069689274,1.741353035,100,936,1536,22,100.00%
69,mistral-small,2024-September-02 10:18:24,2024-September-02 10:18:27,0.523314238,1.169044495,1.692359924,100,936,1536,22,100.00%
70,mistral-small,2024-September-02 10:18:30,2024-September-02 10:18:33,0.474411011,1.128471136,1.602883339,100,936,1536,22,100.00%
71,gemini-1.5-flash,2024-September-02 10:19:01,2024-September-02 10:19:04,0.532350779,1.122336864,1.654690266,100,936,1258,39,100.00%
72,gemini-1.5-flash,2024-September-02 10:19:08,2024-September-02 10:19:10,0.539706945,1.09671998,1.636428356,100,936,1258,39,100.00%
73,gemini-1.5-flash,2024-September-02 10:19:14,2024-September-02 10:19:16,0.478864193,1.025748968,1.504615545,100,936,1258,39,100.00%
74,gemini-1.5-flash,2024-September-02 10:19:20,2024-September-02 10:19:22,0.556062937,1.190525293,1.746589422,100,936,1258,39,100.00%
75,gemini-1.5-flash,2024-September-02 10:19:26,2024-September-02 10:19:28,0.501971722,1.157978296,1.659960747,100,936,1258,39,100.00%
76,gemini-1.5-flash,2024-September-02 10:19:32,2024-September-02 10:19:35,0.573775768,1.132049084,1.705826521,100,936,1258,39,100.00%
77,gemini-1.5-flash,2024-September-02 10:19:38,2024-September-02 10:19:41,0.575551748,1.01836133,1.59391427,100,936,1258,39,100.00%
78,gemini-1.5-flash,2024-September-02 10:19:44,2024-September-02 10:19:47,0.555454493,1.153900146,1.709356785,100,936,1258,39,100.00%
79,gemini-1.5-flash,2024-September-02 10:19:50,2024-September-02 10:19:53,0.557370424,1.09904027,1.656412125,100,936,1258,39,100.00%
80,gemini-1.5-flash,2024-September-02 10:19:56,2024-September-02 10:19:59,0.543098927,1.127005816,1.670106649,100,936,1258,39,100.00%
81,gpt-3.5-turbo,2024-September-02 10:23:14,2024-September-02 10:23:17,0.507219553,1.11450839,1.621729374,100,936,1416,33,100.00%
82,gpt-3.5-turbo,2024-September-02 10:23:20,2024-September-02 10:23:23,0.535804987,1.061831474,1.597637653,100,936,1416,33,100.00%
83,gpt-3.5-turbo,2024-September-02 10:23:27,2024-September-02 10:23:29,0.511421204,1.265331507,1.776753902,100,936,1416,33,100.00%
84,gpt-3.5-turbo,2024-September-02 10:23:33,2024-September-02 10:23:55,20.59994245,1.114471674,21.71441579,100,936,1416,33,100.00%
85,gpt-3.5-turbo,2024-September-02 10:23:59,2024-September-02 10:24:02,0.539224863,1.327980995,1.867207766,100,936,1416,27,100.00%
86,gpt-3.5-turbo,2024-September-02 10:24:05,2024-September-02 10:24:28,20.69995141,1.137711287,21.83766437,100,936,1416,27,100.00%
87,gpt-3.5-turbo,2024-September-02 10:24:32,2024-September-02 10:24:54,20.67194891,1.305468321,21.97741914,100,936,1416,33,100.00%
88,gpt-3.5-turbo,2024-September-02 10:24:58,2024-September-02 10:25:01,0.450297594,1.141036987,1.591335535,100,936,1416,33,100.00%
89,gpt-3.5-turbo,2024-September-02 10:25:04,2024-September-02 10:25:27,20.65186548,1.208796024,21.86066318,100,936,1416,20,100.00%
90,gpt-3.5-turbo,2024-September-02 10:25:31,2024-September-02 10:25:53,20.71315956,1.192263603,21.90542483,100,936,1416,34,100.00%
91,gpt-4,2024-September-02 10:26:21,2024-September-02 10:26:24,0.744473696,1.07014823,1.814623356,100,936,1416,20,100.00%
92,gpt-4,2024-September-02 10:26:28,2024-September-02 10:26:31,0.912836313,1.16932106,2.082158804,100,936,1416,20,100.00%
93,gpt-4,2024-September-02 10:26:34,2024-September-02 10:26:37,0.8794837,1.126019716,2.005505085,100,936,1416,20,100.00%
94,gpt-4,2024-September-02 10:26:41,2024-September-02 10:27:04,20.93137646,1.136999369,22.06837678,100,936,1416,20,100.00%
95,gpt-4,2024-September-02 10:27:08,2024-September-02 10:27:10,0.565188885,1.147958517,1.713149309,100,936,1416,20,100.00%
96,gpt-4,2024-September-02 10:27:14,2024-September-02 10:27:37,20.9113462,1.27527523,22.18662286,100,936,1416,20,100.00%
97,gpt-4,2024-September-02 10:27:41,2024-September-02 10:28:07,24.4677701,1.039264202,25.50703549,100,936,1416,335,100.00%
98,gpt-4,2024-September-02 10:28:10,2024-September-02 10:28:13,0.948374748,1.008599043,1.95697546,100,936,1416,20,100.00%
99,gpt-4,2024-September-02 10:28:17,2024-September-02 10:28:39,20.90252662,1.028615713,21.93114376,100,936,1416,20,100.00%
100,gpt-4,2024-September-02 10:28:43,2024-September-02 10:28:46,0.677942276,1.047543049,1.725486517,100,936,1416,20,100.00%
101,mistral-small,2024-September-02 10:30:45,2024-September-02 10:30:47,0.580657959,1.00325799,1.583917379,100,936,1536,22,100.00%
102,mistral-small,2024-September-02 10:30:51,2024-September-02 10:30:53,0.510099888,1.099686146,1.609787703,100,936,1536,22,100.00%
103,mistral-small,2024-September-02 10:30:57,2024-September-02 10:31:00,0.600540638,1.065481663,1.666023493,100,936,1536,22,100.00%
104,mistral-small,2024-September-02 10:31:03,2024-September-02 10:31:06,0.492750883,1.042566299,1.535318613,100,936,1536,22,100.00%
105,mistral-small,2024-September-02 10:31:09,2024-September-02 10:31:12,0.491413832,1.176019192,1.667434931,100,936,1536,22,100.00%
106,mistral-small,2024-September-02 10:31:15,2024-September-02 10:31:17,0.454579592,1.118209362,1.572790384,100,936,1536,22,100.00%
107,mistral-small,2024-September-02 10:31:21,2024-September-02 10:31:24,0.727056503,1.064899206,1.791957378,100,936,1536,22,100.00%
108,mistral-small,2024-September-02 10:31:27,2024-September-02 10:31:30,0.837343693,1.038697004,1.876042843,100,936,1536,22,100.00%
109,mistral-small,2024-September-02 10:31:34,2024-September-02 10:31:36,0.570032835,1.148711681,1.718745708,100,936,1536,22,100.00%
110,mistral-small,2024-September-02 10:32:23,2024-September-02 10:32:26,0.475232363,1.095307112,1.570540428,100,936,1536,22,100.00%
111,gemini-1.5-flash,2024-September-02 10:32:52,2024-September-02 10:32:54,0.56190443,1.196923494,1.758829355,100,936,1258,32,100.00%
112,gemini-1.5-flash,2024-September-02 10:32:58,2024-September-02 10:33:00,0.516696692,1.063267231,1.579965353,100,936,1258,32,100.00%
113,gemini-1.5-flash,2024-September-02 10:33:04,2024-September-02 10:33:06,0.585537911,1.11353755,1.699077368,100,936,1258,32,100.00%
114,gemini-1.5-flash,2024-September-02 10:33:10,2024-September-02 10:33:13,0.618140459,1.048539162,1.666680813,100,936,1258,32,100.00%
115,gemini-1.5-flash,2024-September-02 10:33:16,2024-September-02 10:33:19,0.594354153,1.21131134,1.805667877,100,936,1258,32,100.00%
