ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS
97,gpt-4,2024-September-02 08:18:31,2024-September-02 08:18:43,8.830452442,2.847427845,12.60554862,20,20,619,285,356,100.00%
98,gpt-4,2024-September-02 08:18:49,2024-September-02 08:19:02,8.804280281,3.084923029,12.77884173,20,20,619,285,356,100.00%
99,gpt-4,2024-September-02 08:19:08,2024-September-02 08:19:22,9.940165281,2.94879508,13.75180388,20,20,619,285,356,100.00%
100,gpt-4,2024-September-02 08:19:32,2024-September-02 08:19:44,8.367544889,2.905166388,12.22203279,20,20,619,285,356,100.00%
101,gpt-4,2024-September-02 08:20:10,2024-September-02 08:20:23,9.070482016,2.980737925,13.01378918,20,20,619,285,356,100.00%
102,mistral-small,2024-September-02 08:20:36,2024-September-02 08:20:47,7.47933197,2.875120163,11.22161174,20,20,983,518,398,100.00%
103,mistral-small,2024-September-02 08:21:26,2024-September-02 08:21:31,0,0,5.438711643,20,0,0,0,0,0
104,mistral-small,2024-September-02 08:21:57,2024-September-02 08:22:05,4.145760298,2.952659369,7.947030783,20,20,980,423,398,100.00%
105,mistral-small,2024-September-02 08:22:15,2024-September-02 08:22:23,5.052892923,2.773235321,8.677034616,20,20,985,512,398,100.00%
106,mistral-small,2024-September-02 08:22:30,2024-September-02 08:22:37,3.89921546,2.760810852,7.499332666,20,20,1137,352,398,100.00%
107,mistral-small,2024-September-02 08:22:43,2024-September-02 08:22:51,3.866075993,2.739336729,7.441973925,20,20,1110,383,398,100.00%
108,mistral-small,2024-September-02 08:22:57,2024-September-02 08:23:02,0,0,5.165360689,20,0,0,0,0,0
109,mistral-small,2024-September-02 08:23:13,2024-September-02 08:23:19,0,0,6.096534491,20,0,0,0,0,0
110,mistral-small,2024-September-02 08:23:32,2024-September-02 08:23:39,2.858917475,2.928979158,6.784422159,20,20,979,270,356,100.00%
111,mistral-small,2024-September-02 08:23:51,2024-September-02 08:23:57,2.399914742,2.786252737,6.061386585,20,20,982,233,356,100.00%
112,gemini-1.5-flash,2024-September-02 08:24:17,2024-September-02 08:24:23,1.419727564,2.912652969,5.197476387,20,20,981,190,356,100.00%
113,gemini-1.5-flash,2024-September-02 08:24:34,2024-September-02 08:24:39,1.487804651,2.913895607,5.280709267,20,20,983,212,356,100.00%
114,gemini-1.5-flash,2024-September-02 08:24:45,2024-September-02 08:24:47,0,0,2.35847497,20,0,0,0,0,0
115,gemini-1.5-flash,2024-September-02 08:25:16,2024-September-02 08:25:19,0,0,2.439392567,20,0,0,0,0,0
116,gemini-1.5-flash,2024-September-02 08:25:51,2024-September-02 08:25:56,1.546701908,2.772553444,5.22261548,20,20,984,230,356,100.00%
117,gemini-1.5-flash,2024-September-02 08:26:06,2024-September-02 08:26:12,1.659104347,3.687403917,6.242403507,20,20,982,229,356,100.00%
118,gemini-1.5-flash,2024-September-02 08:26:18,2024-September-02 08:26:20,0,0,2.311050177,20,0,0,0,0,0
119,gemini-1.5-flash,2024-September-02 08:26:31,2024-September-02 08:26:36,1.555080652,2.688980103,5.154116869,20,20,983,210,356,95.00%
120,gemini-1.5-flash,2024-September-02 08:26:42,2024-September-02 08:26:47,1.4793818,2.790596008,5.160063028,20,20,982,188,356,100.00%
121,gemini-1.5-flash,2024-September-02 08:26:58,2024-September-02 08:27:03,1.691635847,2.876060486,5.465549469,20,20,983,229,356,90.00%
