ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED
175,mistral-small,2024-September-02 12:26:23,2024-September-02 12:26:32,9,0,9,50,570,0,0,1.286057472,0,TRUE
176,mistral-small,2024-September-02 12:29:39,2024-September-02 12:31:26,107,0,107,50,570,0,0,1.421776295,0,TRUE
177,mistral-small,2024-September-02 12:31:31,2024-September-02 12:31:41,10,0,10,50,570,0,0,1.289391518,0,TRUE
178,mistral-small,2024-September-02 12:31:47,2024-September-02 12:32:00,13,0,13,50,570,0,0,1.123468637,0,TRUE
179,mistral-small,2024-September-02 12:32:05,2024-September-02 12:32:13,8,0,8,50,570,0,0,1.334668636,0,TRUE
180,mistral-small,2024-September-02 12:32:19,2024-September-02 12:32:29,10,0,10,50,570,0,0,1.15941,0,TRUE
180,gemini-1.5-flash,2024-September-02 12:32:24,2024-September-02 12:32:32,8,0,8,50,570,0,0,1.187609673,0,TRUE
181,gemini-1.5-flash,2024-September-02 12:32:37,2024-September-02 12:32:44,7,0,7,50,570,0,0,1.176649094,0,TRUE
182,gemini-1.5-flash,2024-September-02 12:32:49,2024-September-02 12:32:56,7,0,7,50,570,0,0,1.143878937,0,TRUE
182,mistral-small,2024-September-02 12:32:49,2024-September-02 12:32:58,9,0,9,50,570,0,0,1.069293499,0,TRUE
183,gemini-1.5-flash,2024-September-02 12:33:01,2024-September-02 12:33:09,8,0,8,50,570,0,0,1.06280303,0,TRUE
184,gemini-1.5-flash,2024-September-02 12:33:14,2024-September-02 12:33:23,9,0,9,50,570,0,0,1.108546734,0,TRUE
185,gemini-1.5-flash,2024-September-02 12:33:28,2024-September-02 12:33:36,8,0,8,50,570,0,0,1.276225567,0,TRUE
186,gemini-1.5-flash,2024-September-02 12:33:41,2024-September-02 12:33:48,7,0,7,50,570,0,0,1.284373283,0,TRUE
187,gemini-1.5-flash,2024-September-02 12:33:53,2024-September-02 12:34:03,10,0,10,50,570,0,0,1.27863431,0,TRUE
188,gemini-1.5-flash,2024-September-02 12:34:09,2024-September-02 12:34:17,8,0,8,50,570,0,0,1.30839324,0,TRUE
189,gemini-1.5-flash,2024-September-02 12:34:22,2024-September-02 12:34:33,11,0,11,50,570,0,0,1.208102703,0,TRUE
190,gpt-3.5-turbo,2024-September-02 12:39:30,2024-September-02 12:39:42,12,0,12,50,570,0,0,1.167737484,0,TRUE
191,gpt-3.5-turbo,2024-September-02 12:39:52,2024-September-02 12:39:59,1.352371216,2.797204256,4.149576664,100,621,117,0,1.591400146,100.00%,FALSE
192,gpt-3.5-turbo,2024-September-02 12:40:14,2024-September-02 12:40:28,14,0,14,100,621,0,0,1.342428923,0,TRUE
193,gpt-3.5-turbo,2024-September-02 12:40:31,2024-September-02 12:40:42,11,0,11,100,621,0,0,1.163043261,0,TRUE
194,gpt-3.5-turbo,2024-September-02 12:40:44,2024-September-02 12:40:53,9,0,9,100,621,0,0,1.249132156,0,TRUE
195,gpt-3.5-turbo,2024-September-02 12:40:56,2024-September-02 12:41:08,12,0,12,100,621,0,0,1.372454166,0,TRUE
196,gpt-3.5-turbo,2024-September-02 12:41:11,2024-September-02 12:41:22,11,0,11,100,621,0,0,1.121938705,0,TRUE
197,gpt-4,2024-September-02 12:45:17,2024-September-02 12:45:57,40,0,40,100,621,0,0,1.105304718,0,TRUE
198,gpt-4,2024-September-02 12:46:00,2024-September-02 12:46:48,48,0,48,100,621,0,0,1.213563442,0,TRUE
199,gpt-4,2024-September-02 12:46:50,2024-September-02 12:46:59,9,0,9,100,621,0,0,1.335106134,0,TRUE
200,gpt-4,2024-September-02 12:47:02,2024-September-02 12:47:39,37,0,37,100,621,0,0,1.228385925,0,TRUE
201,gpt-4,2024-September-02 12:47:42,2024-September-02 12:48:19,37,0,37,100,621,0,0,1.292794466,0,TRUE
202,gpt-4,2024-September-02 12:56:52,2024-September-02 12:57:10,18,0,18,100,621,0,0,1.275575876,0,TRUE
203,gpt-4,2024-September-02 12:57:13,2024-September-02 12:57:32,19,0,19,100,621,0,0,1.383289099,0,TRUE
204,gpt-4,2024-September-02 12:57:35,2024-September-02 12:57:49,14,0,14,100,621,0,0,1.255711317,0,TRUE
205,gpt-3.5-turbo,2024-September-02 12:59:01,2024-September-02 12:59:12,11,0,11,100,621,0,0,1.163881302,0,TRUE
206,gemini-1.5-flash,2024-September-02 12:59:15,2024-September-02 12:59:27,12,0,12,100,621,0,0,1.178094912,0,TRUE
207,gemini-1.5-flash,2024-September-02 12:59:30,2024-September-02 12:59:42,12,0,12,100,621,0,0,1.132051849,0,TRUE
208,mistral-small,2024-September-02 13:00:00,2024-September-02 13:00:12,12,0,12,100,621,0,0,1.171910048,0,TRUE
209,mistral-small,2024-September-02 13:00:15,2024-September-02 13:00:26,11,0,11,100,621,0,0,1.195802927,0,TRUE
210,mistral-small,2024-September-02 13:00:29,2024-September-02 13:00:50,21,0,21,100,621,0,0,1.145020723,0,TRUE
211,gemini-1.5-flash,2024-September-02 13:01:06,2024-September-02 13:01:16,10,0,10,100,621,0,0,1.183635235,0,TRUE
212,gemini-1.5-flash,2024-September-02 13:01:19,2024-September-02 13:01:40,21,0,21,100,621,0,0,1.239663124,0,TRUE
213,gemini-1.5-flash,2024-September-02 13:01:43,2024-September-02 13:02:00,17,0,17,100,621,0,0,1.1484828,0,TRUE
214,gpt-4,2024-September-02 13:08:01,2024-September-02 13:08:49,48,0,48,100,621,0,0,1.299733639,0,TRUE
215,gpt-4,2024-September-02 13:08:52,2024-September-02 13:09:21,29,0,29,100,621,0,0,1.16656661,0,TRUE
216,mistral-small,2024-September-02 13:09:24,2024-September-02 13:10:00,36,0,36,100,621,0,0,1.1988,0,TRUE
217,gpt-3.5-turbo,2024-September-02 13:10:24,2024-September-02 13:10:31,1.714533567,3.08247757,4.797011852,100,635,118,0,1.280871391,100.00%,FALSE
218,gpt-3.5-turbo,2024-September-02 13:10:34,2024-September-02 13:10:41,1.690619469,2.849352121,4.539973021,100,635,119,0,1.331245422,100.00%,FALSE
219,gpt-3.5-turbo,2024-September-02 13:10:44,2024-September-02 13:10:50,1.634101868,2.729325533,4.363428831,100,635,117,0,1.216720104,100.00%,FALSE
220,mistral-small,2024-September-02 17:53:31,2024-September-02 17:53:43,12,0,12,100,635,0,0,1.222777042,0,TRUE
221,mistral-small,2024-September-02 17:53:47,2024-September-02 17:53:59,12,0,12,100,635,0,0,1.201360846,0,TRUE
222,mistral-small,2024-September-02 17:54:03,2024-September-02 17:54:14,11,0,11,100,635,0,0,1.199608564,0,TRUE
220,mistral-small,2024-September-02 17:53:31,2024-September-02 17:53:43,12,0,12,100,635,0,0,1.222777042,0,TRUE
221,mistral-small,2024-September-02 17:53:47,2024-September-02 17:53:59,12,0,12,100,635,0,0,1.201360846,0,TRUE
222,mistral-small,2024-September-02 17:54:03,2024-September-02 17:54:13,10,0,10,100,635,0,0,1.199608564,0,TRUE
221,mistral-small,2024-September-02 17:55:00,2024-September-02 17:55:11,11,0,11,100,635,0,0,1.201360846,0,TRUE
222,mistral-small,2024-September-02 17:55:31,2024-September-02 17:55:44,13,0,13,100,635,0,0,1.199608564,0,TRUE
220,mistral-small,2024-September-02 17:56:12,2024-September-02 17:56:24,12,0,12,100,635,0,0,1.222777042,0,TRUE
221,mistral-small,2024-September-02 17:58:03,2024-September-02 17:58:15,12,0,12,100,635,0,0,1.201360846,0,TRUE
222,mistral-small,2024-September-02 17:59:04,2024-September-02 17:59:19,15,0,15,100,635,0,0,1.199608564,0,TRUE
