ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
153,gpt-3.5-turbo,2024-September-02 12:14:14,2024-September-02 12:14:26,0,0,0,50,0,0,0,1.21629262,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
154,gpt-3.5-turbo,2024-September-02 12:14:31,2024-September-02 12:14:39,0,0,0,50,0,0,0,1.174353361,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
155,gpt-3.5-turbo,2024-September-02 12:14:44,2024-September-02 12:14:54,0,0,0,50,0,0,0,1.200356245,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
156,gpt-3.5-turbo,2024-September-02 12:14:59,2024-September-02 12:15:10,0,0,0,50,0,0,0,1.159345865,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
157,gpt-3.5-turbo,2024-September-02 12:15:15,2024-September-02 12:15:25,0,0,0,50,0,0,0,1.172003746,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
158,gpt-3.5-turbo,2024-September-02 12:15:30,2024-September-02 12:15:39,0,0,0,50,0,0,0,1.094233751,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
159,gpt-3.5-turbo,2024-September-02 12:15:44,2024-September-02 12:15:54,0,0,0,50,0,0,0,1.239555836,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
160,gpt-3.5-turbo,2024-September-02 12:15:59,2024-September-02 12:16:11,0,0,0,50,0,0,0,1.154932022,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
161,gpt-3.5-turbo,2024-September-02 12:16:16,2024-September-02 12:16:26,0,0,0,50,0,0,0,1.27380228,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
162,gpt-3.5-turbo,2024-September-02 12:16:31,2024-September-02 12:17:03,0,0,0,50,0,0,0,1.220090866,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
163,gpt-4,2024-September-02 12:17:42,2024-September-02 12:18:17,0,0,0,50,0,0,0,1.510546446,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
164,gpt-4,2024-September-02 12:18:23,2024-September-02 12:19:05,0,0,0,50,0,0,0,1.27101779,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
165,gpt-4,2024-September-02 12:19:10,2024-September-02 12:19:48,0,0,0,50,0,0,0,1.300579786,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
166,gpt-4,2024-September-02 12:19:53,2024-September-02 12:20:25,0,0,0,50,0,0,0,1.275219202,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
167,gpt-4,2024-September-02 12:20:30,2024-September-02 12:21:06,0,0,0,50,0,0,0,1.262274981,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
168,gpt-4,2024-September-02 12:21:11,2024-September-02 12:21:52,0,0,0,50,0,0,0,1.280016899,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
169,gpt-4,2024-September-02 12:21:57,2024-September-02 12:22:37,0,0,0,50,0,0,0,1.172128201,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
170,gpt-4,2024-September-02 12:22:42,2024-September-02 12:23:09,0,0,0,50,0,0,0,1.260350466,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
171,gpt-4,2024-September-02 12:23:14,2024-September-02 12:23:50,0,0,0,50,0,0,0,1.210323811,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
172,gpt-4,2024-September-02 12:23:55,2024-September-02 12:24:37,0,0,0,50,0,0,0,1.107033253,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
173,mistral-small,2024-September-02 12:25:29,2024-September-02 12:26:04,0,0,0,50,0,0,0,1.150935411,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
174,mistral-small,2024-September-02 12:26:10,2024-September-02 12:26:18,0,0,0,50,0,0,0,1.347496033,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
175,mistral-small,2024-September-02 12:26:23,2024-September-02 12:26:32,0,0,0,50,0,0,0,1.286057472,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
176,mistral-small,2024-September-02 12:29:39,2024-September-02 12:31:26,0,0,0,50,0,0,0,1.421776295,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
177,mistral-small,2024-September-02 12:31:31,2024-September-02 12:31:41,0,0,0,50,0,0,0,1.289391518,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
178,mistral-small,2024-September-02 12:31:47,2024-September-02 12:32:00,0,0,0,50,0,0,0,1.123468637,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
179,mistral-small,2024-September-02 12:32:05,2024-September-02 12:32:13,0,0,0,50,0,0,0,1.334668636,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
180,mistral-small,2024-September-02 12:32:19,2024-September-02 12:32:29,0,0,0,50,0,0,0,1.15941,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
180,gemini-1.5-flash,2024-September-02 12:32:24,2024-September-02 12:32:32,0,0,0,50,0,0,0,1.187609673,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
181,gemini-1.5-flash,2024-September-02 12:32:37,2024-September-02 12:32:44,0,0,0,50,0,0,0,1.176649094,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
182,gemini-1.5-flash,2024-September-02 12:32:49,2024-September-02 12:32:56,0,0,0,50,0,0,0,1.143878937,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
182,mistral-small,2024-September-02 12:32:49,2024-September-02 12:32:58,0,0,0,50,0,0,0,1.069293499,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
183,gemini-1.5-flash,2024-September-02 12:33:01,2024-September-02 12:33:09,0,0,0,50,0,0,0,1.06280303,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
184,gemini-1.5-flash,2024-September-02 12:33:14,2024-September-02 12:33:23,0,0,0,50,0,0,0,1.108546734,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
185,gemini-1.5-flash,2024-September-02 12:33:28,2024-September-02 12:33:36,0,0,0,50,0,0,0,1.276225567,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
186,gemini-1.5-flash,2024-September-02 12:33:41,2024-September-02 12:33:48,0,0,0,50,0,0,0,1.284373283,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
187,gemini-1.5-flash,2024-September-02 12:33:53,2024-September-02 12:34:03,0,0,0,50,0,0,0,1.27863431,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
188,gemini-1.5-flash,2024-September-02 12:34:09,2024-September-02 12:34:17,0,0,0,50,0,0,0,1.30839324,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
189,gemini-1.5-flash,2024-September-02 12:34:22,2024-September-02 12:34:33,0,0,0,50,0,0,0,1.208102703,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
190,gpt-3.5-turbo,2024-September-02 12:39:30,2024-September-02 12:39:42,0,0,0,50,0,0,0,1.167737484,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
191,gpt-3.5-turbo,2024-September-02 12:39:52,2024-September-02 12:39:59,1.352371216,2.797204256,4.149576664,10,621,117,0,1.591400146,100.0%,false,None,
192,gpt-3.5-turbo,2024-September-02 12:40:14,2024-September-02 12:40:28,0,0,0,10,0,0,0,1.342428923,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
193,gpt-3.5-turbo,2024-September-02 12:40:31,2024-September-02 12:40:42,0,0,0,10,0,0,0,1.163043261,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
194,gpt-3.5-turbo,2024-September-02 12:40:44,2024-September-02 12:40:53,0,0,0,10,0,0,0,1.249132156,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
195,gpt-3.5-turbo,2024-September-02 12:40:56,2024-September-02 12:41:08,0,0,0,10,0,0,0,1.372454166,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
196,gpt-3.5-turbo,2024-September-02 12:41:11,2024-September-02 12:41:22,0,0,0,10,0,0,0,1.121938705,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
197,gpt-4,2024-September-02 12:45:17,2024-September-02 12:45:57,0,0,0,10,0,0,0,1.105304718,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
198,gpt-4,2024-September-02 12:46:00,2024-September-02 12:46:48,0,0,0,10,0,0,0,1.213563442,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
199,gpt-4,2024-September-02 12:46:50,2024-September-02 12:46:59,0,0,0,10,0,0,0,1.335106134,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
200,gpt-4,2024-September-02 12:47:02,2024-September-02 12:47:39,0,0,0,10,0,0,0,1.228385925,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
201,gpt-4,2024-September-02 12:47:42,2024-September-02 12:48:19,0,0,0,10,0,0,0,1.292794466,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
202,gpt-4,2024-September-02 12:56:52,2024-September-02 12:57:10,0,0,0,10,0,0,0,1.275575876,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
203,gpt-4,2024-September-02 12:57:13,2024-September-02 12:57:32,0,0,0,10,0,0,0,1.383289099,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
204,gpt-4,2024-September-02 12:57:35,2024-September-02 12:57:49,0,0,0,10,0,0,0,1.255711317,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
205,gpt-3.5-turbo,2024-September-02 12:59:01,2024-September-02 12:59:12,0,0,0,10,0,0,0,1.163881302,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
206,gpt-3.5-turbo,2024-September-02 12:59:15,2024-September-02 12:59:27,0,0,0,10,0,0,0,1.378094912,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
207,gpt-3.5-turbo,2024-September-02 12:59:30,2024-September-02 12:59:42,0,0,0,10,0,0,0,1.232051849,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
208,mistral-small,2024-September-02 13:00:00,2024-September-02 13:00:12,0,0,0,10,0,0,0,1.171910048,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
209,mistral-small,2024-September-02 13:00:15,2024-September-02 13:00:26,0,0,0,10,0,0,0,1.195802927,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
210,mistral-small,2024-September-02 13:00:29,2024-September-02 13:00:50,0,0,0,10,0,0,0,1.145020723,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
211,gemini-1.5-flash,2024-September-02 13:01:06,2024-September-02 13:01:16,0,0,0,10,0,0,0,1.183635235,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
212,gemini-1.5-flash,2024-September-02 13:01:19,2024-September-02 13:01:40,0,0,0,10,0,0,0,1.239663124,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
213,gemini-1.5-flash,2024-September-02 13:01:43,2024-September-02 13:02:00,0,0,0,10,0,0,0,1.1484828,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
214,gpt-4,2024-September-02 13:08:01,2024-September-02 13:08:49,0,0,0,10,0,0,0,1.299733639,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
215,gpt-4,2024-September-02 13:08:52,2024-September-02 13:09:21,0,0,0,10,0,0,0,1.16656661,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
216,gpt-4,2024-September-02 13:09:24,2024-September-02 13:10:00,0,0,0,10,0,0,0,1.476187468,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
217,gpt-3.5-turbo,2024-September-02 13:10:24,2024-September-02 13:10:31,1.714533567,3.08247757,4.797011852,10,635,118,0,1.280871391,100.0%,false,None,
218,gpt-3.5-turbo,2024-September-02 13:10:34,2024-September-02 13:10:41,1.690619469,2.849352121,4.539973021,10,635,119,0,1.331245422,100.0%,false,None,
219,gpt-3.5-turbo,2024-September-02 13:10:44,2024-September-02 13:10:50,1.634101868,2.729325533,4.363428831,10,635,117,0,1.216720104,100.0%,false,None,
220,gpt-3.5-turbo,2024-September-02 17:53:31,2024-September-02 17:53:43,0,0,0,10,0,0,0,1.562777042,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
221,gpt-3.5-turbo,2024-September-02 17:53:47,2024-September-02 17:53:59,0,0,0,10,0,0,0,1.301360846,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
222,gpt-3.5-turbo,2024-September-02 17:54:03,2024-September-02 17:54:14,0,0,0,10,0,0,0,1.199608564,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
