ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS
79,gpt-4,advancements,2024-September-02 18:20:36,2024-September-02 18:20:56,13.40522885,2.876291037,16.28152084,10,626,1341,2.592229843,100.00%
80,gpt-4,hyperloop_specifications,2024-September-02 18:26:23,2024-September-02 18:26:41,11.25815916,2.899165154,14.15732575,40,531,1317,2.958715439,100.00%
81,gpt-4,hyperloop_specifications,2024-September-02 18:26:43,2024-September-02 18:27:00,10.44505382,2.779759645,13.22481489,20,531,875,3.024232626,100.00%
82,gpt-4,advancements,2024-September-02 18:20:59,2024-September-02 18:21:20,14.26375341,3.086090088,17.34984398,10,626,1132,2.41479516,100.00%
83,gpt-4,advancements,2024-September-02 18:21:23,2024-September-02 18:21:39,10.39139342,2.809706926,13.20110154,10,626,854,2.538193464,100.00%
84,mistral-small,hyperloop_specifications,2024-September-02 18:22:04,2024-September-02 18:22:16,4.451088428,3.057995796,7.50908494,20,531,1525,3.127281904,100.00%
85,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:22:16,2024-September-02 18:22:26,3.492298365,2.825786114,6.318085432,20,531,1146,2.530369997,100.00%
86,mistral-small,hyperloop_specifications,2024-September-02 18:22:19,2024-September-02 18:22:29,4.207490921,2.71055007,6.918042421,20,531,1315,2.874763489,100.00%
87,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:22:29,2024-September-02 18:22:39,3.339466333,2.770634651,6.110101938,20,531,918,3.356349945,100.00%
88,mistral-small,hyperloop_specifications,2024-September-02 18:22:32,2024-September-02 18:22:44,5.179503679,2.741213799,7.920718193,20,531,1928,2.836612225,100.00%
89,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:22:42,2024-September-02 18:22:53,4.055934191,2.856832981,6.912768602,20,531,1064,3.025903463,100.00%
90,mistral-small,hyperloop_specifications,2024-September-02 18:22:46,2024-September-02 18:22:58,4.351826191,2.819648027,7.171475172,20,531,1572,3.400673628,100.00%
91,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:22:56,2024-September-02 18:23:03,0,0,0,20,0,0,3.160045385,0
92,mistral-small,hyperloop_specifications,2024-September-02 18:23:01,2024-September-02 18:23:12,4.927245378,2.991537333,7.918784142,20,531,1691,2.998250484,100.00%
93,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:23:06,2024-September-02 18:23:16,3.435990334,2.562536955,5.998528719,20,531,1024,3.010599136,100.00%
94,gpt-3.5-turbo,advancements,2024-September-02 18:23:40,2024-September-02 18:23:54,7.953086615,3.006510258,10.95959759,20,626,2316,2.304608107,100.00%
95,gpt-3.5-turbo,advancements,2024-September-02 18:23:57,2024-September-02 18:24:10,6.594300032,2.994364738,9.588665724,20,626,1868,2.644928932,100.00%
96,mistral-small,advancements,2024-September-02 18:24:02,2024-September-02 18:24:12,0,0,0,20,0,0,2.442816496,0
97,gpt-3.5-turbo,advancements,2024-September-02 18:24:13,2024-September-02 18:24:24,0,0,0,20,0,0,2.430223227,0
98,mistral-small,advancements,2024-September-02 18:24:14,2024-September-02 18:24:27,5.836637497,2.992029428,8.828667879,20,626,1740,2.731654406,100.00%
99,gpt-3.5-turbo,advancements,2024-September-02 18:24:26,2024-September-02 18:24:39,5.812470675,2.934853554,8.747324944,20,626,1842,2.624881506,100.00%
100,mistral-small,advancements,2024-September-02 18:24:29,2024-September-02 18:24:41,5.807087898,2.789838552,8.596927643,20,626,1767,2.287817478,100.00%
101,mistral-small,advancements,2024-September-02 18:24:44,2024-September-02 18:24:53,0,0,0,20,0,0,2.384688139,0
102,gpt-3.5-turbo,advancements,2024-September-02 18:24:41,2024-September-02 18:24:54,5.930648088,3.247219086,9.177868128,20,626,2095,2.516151905,100.00%
103,mistral-small,advancements,2024-September-02 18:24:56,2024-September-02 18:25:09,6.882419348,3.13760376,10.02002382,20,626,1766,2.320195436,100.00%
104,gpt-4,hyperloop_specifications,2024-September-02 18:25:15,2024-September-02 18:25:36,13.47661209,3.223699331,16.70031238,20,531,1425,3.062329769,100.00%
105,gemini-1.5-flash,hyperloop_specifications,2024-September-02 18:25:44,2024-September-02 18:25:53,2.237076759,3.055130959,5.292208672,20,531,1118,3.151503563,100.00%
106,gpt-4,hyperloop_specifications,2024-September-02 18:25:39,2024-September-02 18:25:56,10.86030269,2.755477905,13.61578155,20,531,980,2.838462353,100.00%
