ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
40,gemini-1.5-flash,2024-September-02 07:11:49,2024-September-02 07:11:54,0.7280907631,2.909318924,4.56719327,5,5,799,46,95,60.0%,false,None,
41,gemini-1.5-flash,2024-September-02 07:12:00,2024-September-02 07:12:05,0.6866512299,3.215459108,4.781349182,5,5,798,43,95,100.0%,false,None,
42,gpt-3.5-turbo,2024-September-02 07:20:50,2024-September-02 07:20:56,1.926270485,2.954618692,5.79166913,10,10,492,192,175,100.0%,false,None,
43,gpt-3.5-turbo,2024-September-02 07:21:09,2024-September-02 07:21:14,1.88739109,2.647599697,5.473876953,10,10,490,156,175,100.0%,false,None,
44,gpt-3.5-turbo,2024-September-02 07:21:23,2024-September-02 07:21:28,1.655114174,2.75172925,5.282681227,10,10,490,156,175,100.0%,false,None,
45,gpt-3.5-turbo,2024-September-02 07:21:37,2024-September-02 07:21:42,1.357769489,2.863651037,5.177586317,10,10,492,159,175,100.0%,false,None,
46,gpt-3.5-turbo,2024-September-02 07:21:48,2024-September-02 07:21:53,1.281221628,2.763443947,5.034008026,10,10,490,156,175,100.0%,false,None,
47,gpt-3.5-turbo,2024-September-02 07:21:58,2024-September-02 07:22:03,2.16373682,2.654498816,5.678426981,10,10,490,156,175,100.0%,false,None,
48,gpt-3.5-turbo,2024-September-02 07:22:14,2024-September-02 07:22:19,1.525834322,2.793413401,5.222683668,10,10,492,157,175,100.0%,false,None,
49,gpt-3.5-turbo,2024-September-02 07:22:27,2024-September-02 07:22:53,21.935868502,3.028635263,25.852325678,10,10,491,157,175,100.0%,false,None,
50,gpt-3.5-turbo,2024-September-02 07:23:35,2024-September-02 07:23:40,1.514586926,2.793740749,5.246574402,10,10,491,157,175,100.0%,false,None,
51,gpt-3.5-turbo,2024-September-02 07:23:50,2024-September-02 07:23:55,1.51661849,2.739869595,5.123158216,10,10,491,157,175,100.0%,false,None,
52,gpt-4,2024-September-02 07:24:26,2024-September-02 07:24:36,7.064996719,2.915178299,10.857029915,10,10,490,243,175,100.0%,false,None,
53,gpt-4,2024-September-02 07:24:48,2024-September-02 07:24:57,4.833746672,2.949364662,8.659594059,10,10,491,157,175,100.0%,false,None,
54,gpt-4,2024-September-02 07:25:01,2024-September-02 07:25:08,0,0,7.063507557,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
55,gpt-4,2024-September-02 07:25:20,2024-September-02 07:25:30,6.192382097,2.907167673,9.95999217,10,10,490,192,175,100.0%,false,None,
56,gpt-4,2024-September-02 07:25:35,2024-September-02 07:25:44,4.974374056,2.887610435,8.82998991,10,10,492,159,175,100.0%,false,None,
57,gpt-4,2024-September-02 07:25:51,2024-September-02 07:26:00,0,0,8.97848177,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
58,gpt-4,2024-September-02 07:26:09,2024-September-02 07:26:18,4.417668819,3.016580582,8.797281504,10,10,493,159,175,100.0%,false,None,
59,gpt-4,2024-September-02 07:26:23,2024-September-02 07:26:31,0,0,8.27423811,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
60,gpt-4,2024-September-02 07:26:36,2024-September-02 07:26:42,0,0,5.594926119,10,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
61,gpt-4,2024-September-02 07:26:53,2024-September-02 07:27:02,6.032529831,2.870712757,9.845039845,10,10,491,157,175,100.0%,false,None,
62,mistral-small,2024-September-02 07:27:40,2024-September-02 07:27:45,1.494899511,2.909307241,5.324510574,10,10,853,130,175,60.0%,false,None,
