ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,INPUT_DF_VOLUME,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
159,gemini-1.5-flash,2024-September-02 08:46:42,2024-September-02 08:46:47,0,0,4.391642332,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
160,gemini-1.5-flash,2024-September-02 08:46:58,2024-September-02 08:47:03,0,0,4.500898361,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
161,gemini-1.5-flash,2024-September-02 08:47:10,2024-September-02 08:47:14,0,0,4.218866348,50,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
162,gpt-3.5-turbo,2024-September-02 08:48:06,2024-September-02 08:48:20,9.942137241,3.009597063,13.941976786,100,100,1645,1319,227,100.0%,false,None,
163,gpt-3.5-turbo,2024-September-02 08:49:17,2024-September-02 08:49:31,9.684111118,3.006229877,13.656157494,100,100,1653,1319,227,100.0%,false,None,
164,gpt-3.5-turbo,2024-September-02 08:49:38,2024-September-02 08:49:54,0,0,16.176914454,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
165,gpt-3.5-turbo,2024-September-02 08:50:15,2024-September-02 08:50:29,10.676379204,3.086033106,14.706062555,100,100,1646,1330,227,100.0%,false,None,
166,gpt-3.5-turbo,2024-September-02 08:51:02,2024-September-02 08:51:10,0,0,8.553053856,120,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
167,gpt-3.5-turbo,2024-September-02 08:51:21,2024-September-02 08:51:37,12.060344696,2.824418068,15.804048777,100,100,1646,1324,227,99.0%,false,None,
168,gpt-3.5-turbo,2024-September-02 08:51:48,2024-September-02 08:52:00,0,0,11.694198132,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
169,gpt-3.5-turbo,2024-September-02 08:52:09,2024-September-02 08:52:27,14.016955376,3.10324049,17.951231241,100,100,1651,1634,227,100.0%,false,None,
170,gpt-3.5-turbo,2024-September-02 08:52:37,2024-September-02 08:52:52,11.262800455,3.030912638,15.350982428,100,100,1648,1330,227,100.0%,false,None,
171,gpt-3.5-turbo,2024-September-02 08:53:03,2024-September-02 08:53:17,9.689374447,3.365096807,14.080219507,100,100,1640,1330,227,100.0%,false,None,
172,gpt-4,2024-September-02 08:54:19,2024-September-02 08:54:58,0,0,38.858622074,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
173,gpt-4,2024-September-02 08:56:04,2024-September-02 08:56:56,0,0,52.378406048,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
174,gpt-4,2024-September-02 08:57:09,2024-September-02 08:57:49,35.579870701,2.911251545,39.388543367,100,100,1641,1318,227,100.0%,false,None,
175,gpt-4,2024-September-02 08:58:01,2024-September-02 08:58:47,0,0,45.975383759,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
176,gpt-4,2024-September-02 08:59:10,2024-September-02 08:59:50,0,0,40.383909464,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
177,gpt-4,2024-September-02 09:00:02,2024-September-02 09:00:58,52.066149235,2.857101202,55.827083826,100,100,1647,1313,227,100.0%,false,None,
178,gpt-4,2024-September-02 09:02:28,2024-September-02 09:03:17,44.878755331,3.165751696,48.968039274,100,100,1639,1318,227,100.0%,false,None,
179,gpt-4,2024-September-02 09:03:29,2024-September-02 09:04:22,48.716778278,2.987285137,52.611406326,100,100,1643,1330,227,100.0%,false,None,
180,gpt-4,2024-September-02 09:04:36,2024-September-02 09:05:22,0,0,46.7339468,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
181,gpt-4,2024-September-02 09:05:36,2024-September-02 09:06:40,0,0,63.759762049,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
182,mistral-small,2024-September-02 09:07:02,2024-September-02 09:07:14,0,0,11.824835777,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
183,mistral-small,2024-September-02 09:07:37,2024-September-02 09:07:52,11.729017019,2.927396774,15.634326935,100,100,1998,1194,227,100.0%,false,None,
184,mistral-small,2024-September-02 09:08:00,2024-September-02 09:08:12,0,0,12.259500504,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
185,mistral-small,2024-September-02 09:08:23,2024-September-02 09:08:40,13.275919676,3.006285191,17.200956583,100,100,2009,1382,251,100.0%,false,None,
186,mistral-small,2024-September-02 09:08:52,2024-September-02 09:09:07,11.43945384,2.866611958,15.195775032,100,100,2003,1180,227,100.0%,false,None,
187,mistral-small,2024-September-02 09:09:19,2024-September-02 09:09:31,0,0,12.81642437,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
188,mistral-small,2024-September-02 09:09:48,2024-September-02 09:09:59,0,0,11.51124692,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
189,mistral-small,2024-September-02 09:10:16,2024-September-02 09:10:41,0,0,25.354787588,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
190,mistral-small,2024-September-02 09:10:55,2024-September-02 09:11:10,11.176992178,2.937847137,15.020851851,100,100,2012,1173,227,100.0%,false,None,
191,mistral-small,2024-September-02 09:12:06,2024-September-02 09:12:32,22.396610737,3.02981329,26.445486069,100,100,2012,2301,263,97.0%,false,None,
192,gemini-1.5-flash,2024-September-02 09:13:10,2024-September-02 09:13:19,5.323530436,2.911971331,9.157212973,100,100,2012,976,227,100.0%,false,None,
193,gemini-1.5-flash,2024-September-02 09:13:29,2024-September-02 09:13:40,6.69397521,2.777402401,10.384828806,100,100,2005,1164,227,95.0%,false,None,
194,gemini-1.5-flash,2024-September-02 09:13:53,2024-September-02 09:14:02,5.234630585,2.948791504,9.054774284,100,100,2011,979,227,0.0%,false,None,
195,gemini-1.5-flash,2024-September-02 09:14:14,2024-September-02 09:14:25,6.73126483,2.992183685,10.658795357,100,100,2005,1193,227,22.0%,false,None,
196,gemini-1.5-flash,2024-September-02 09:14:39,2024-September-02 09:14:50,7.145965338,2.850491524,10.870157242,100,100,2003,1193,227,99.0%,false,None,
197,gemini-1.5-flash,2024-September-02 09:15:02,2024-September-02 09:15:12,6.39073348,2.796587944,10.089111567,100,100,2003,1156,227,79.0%,false,None,
198,gemini-1.5-flash,2024-September-02 09:15:28,2024-September-02 09:15:39,6.376089096,3.105227947,10.407905817,100,100,2010,1173,227,5.0%,false,None,
199,gemini-1.5-flash,2024-September-02 09:15:50,2024-September-02 09:15:59,5.765390873,2.874535084,9.532592058,100,100,2009,1093,227,21.0%,false,None,
200,gemini-1.5-flash,2024-September-02 09:16:10,2024-September-02 09:16:18,0,0,7.823559046,100,0,0,0,0,0,true,UnboundLocalError,local variable 'session' referenced before assignment
201,gemini-1.5-flash,2024-September-02 09:16:30,2024-September-02 09:16:39,5.419300795,3.115324736,9.488009214,100,100,2007,972,227,8.0%,false,None,
