Time,Positive_Public_Opinion,Negative_Public_Opinion,Overall_Social_Acceptance
0,0.5,0.1,5.0
1,0.518,0.10241000000000001,5.058099794941899
2,0.5359518,0.10455024100000002,5.1262607802118785
3,0.55386079518,0.10642141902410002,5.204410918957711
4,0.571732366799518,0.10802414923830242,5.292634756495701
5,0.5895718838147519,0.10935896615123349,5.391161827548989
6,0.6073847044917272,0.11042632379062732,5.500361540997712
7,0.6251761780159146,0.11122659585563047,5.620743610884026
8,0.6429516460988021,0.11176007584497731,5.752963580578112
9,0.6607164445819025,0.11202697716107977,5.89783337304443
10,0.6784759050386809,0.11202743319006735,6.056337146344941
11,0.6962353563748795,0.11176149735780613,6.229653081202657
12,0.7140001264277234,0.11122914316191872,6.4191821147838715
13,0.731775543564485,0.11043026417981905,6.626585103272947
14,0.7495669382808887,0.10936467405276976,6.853830496666719
15,0.7673796447998333,0.1080321064459617,7.103255412164727
16,0.7852190026709142,0.1064322149846088,7.3776440975550965
17,0.803090358371222,0.10456457316604355,7.680329331961723
18,0.8209990669079011,0.10242867424779183,8.015324545954478
19,0.8389504934229453,0.10002393111159809,8.387497712791518
20,0.8569500148007133,0.09734967610336506,8.802802937842454
21,0.875003021278646,0.09440516084896469,9.268593087601756
22,0.8931149180616668,0.0911895560458699,9.794048318564187
23,0.9112911269407493,0.08770195123054948,10.390773684671641
24,0.9295370879161383,0.0839413545215613,11.07364889706868
25,0.9478582608257071,0.07990669233827138,11.862063527959716
26,0.9662601269789417,0.07559680909511961,12.781758099910618
27,0.9847481907970393,0.071010466871345,13.867648449364255
28,1.0033279814596126,0.06614634505607656,15.168305680518344
29,1.022005054558491,0.06100303996868797,16.753346310004755
30,1.0407849937591174,0.05557906445430748,18.726205703134227
31,1.0596734124700313,0.04987284745436615,21.247501728062282
32,1.078675955520944,0.04388273355206111,24.58087425755363
33,1.0977983008499028,0.03760698249260216,29.191342354198607
34,1.1170461612000508,0.031043768678102872,35.98294307572179
35,1.1364252858264887,0.02419118063696992,46.97684263039889
36,1.1559414622137494,0.017047220467636286,67.80820746750327
37,1.1756005178043967,0.009609803256476809,122.33346369625895
38,1.195408321739267,0.001876756469736507,636.9544163111904
39,1.2153707866098724,0.0,1.2153707866098724
40,1.2353707866098724,0.0,1.2353707866098724
41,1.2553707866098724,0.0,1.2553707866098724
42,1.2753707866098725,0.0,1.2753707866098725
43,1.2953707866098725,0.0,1.2953707866098725
44,1.3153707866098725,0.0,1.3153707866098725
45,1.3353707866098725,0.0,1.3353707866098725
46,1.3553707866098725,0.0,1.3553707866098725
47,1.3753707866098726,0.0,1.3753707866098726
48,1.3953707866098726,0.0,1.3953707866098726
49,1.4153707866098726,0.0,1.4153707866098726
50,1.4353707866098726,0.0,1.4353707866098726
51,1.4553707866098726,0.0,1.4553707866098726
52,1.4753707866098726,0.0,1.4753707866098726
53,1.4953707866098727,0.0,1.4953707866098727
54,1.5153707866098727,0.0,1.5153707866098727
55,1.5353707866098727,0.0,1.5353707866098727
56,1.5553707866098727,0.0,1.5553707866098727
57,1.5753707866098727,0.0,1.5753707866098727
58,1.5953707866098727,0.0,1.5953707866098727
59,1.6153707866098728,0.0,1.6153707866098728
60,1.6353707866098728,0.0,1.6353707866098728
61,1.6553707866098728,0.0,1.6553707866098728
62,1.6753707866098728,0.0,1.6753707866098728
63,1.6953707866098728,0.0,1.6953707866098728
64,1.7153707866098729,0.0,1.7153707866098729
65,1.7353707866098729,0.0,1.7353707866098729
66,1.755370786609873,0.0,1.755370786609873
67,1.775370786609873,0.0,1.775370786609873
68,1.795370786609873,0.0,1.795370786609873
69,1.815370786609873,0.0,1.815370786609873
70,1.835370786609873,0.0,1.835370786609873
71,1.855370786609873,0.0,1.855370786609873
72,1.875370786609873,0.0,1.875370786609873
73,1.895370786609873,0.0,1.895370786609873
74,1.915370786609873,0.0,1.915370786609873
75,1.935370786609873,0.0,1.935370786609873
76,1.955370786609873,0.0,1.955370786609873
77,1.975370786609873,0.0,1.975370786609873
78,1.995370786609873,0.0,1.995370786609873
79,2.015370786609873,0.0,2.015370786609873
80,2.035370786609873,0.0,2.035370786609873
81,2.055370786609873,0.0,2.055370786609873
82,2.075370786609873,0.0,2.075370786609873
83,2.095370786609873,0.0,2.095370786609873
84,2.115370786609873,0.0,2.115370786609873
85,2.1353707866098732,0.0,2.1353707866098732
86,2.1553707866098732,0.0,2.1553707866098732
87,2.1753707866098733,0.0,2.1753707866098733
88,2.1953707866098733,0.0,2.1953707866098733
89,2.2153707866098733,0.0,2.2153707866098733
90,2.2353707866098733,0.0,2.2353707866098733
91,2.2553707866098733,0.0,2.2553707866098733
92,2.2753707866098734,0.0,2.2753707866098734
93,2.2953707866098734,0.0,2.2953707866098734
94,2.3153707866098734,0.0,2.3153707866098734
95,2.3353707866098734,0.0,2.3353707866098734
96,2.3553707866098734,0.0,2.3553707866098734
97,2.3753707866098734,0.0,2.3753707866098734
98,2.3953707866098735,0.0,2.3953707866098735
99,2.4153707866098735,0.0,2.4153707866098735
