Time,Ethical_Compliance,Legal_Compliance,Land_Usage_Compliance,International_Law_Compliance,Overall_Compliance_Score,Project_Maturity_Level,Investment_Level,Safety_Score,Overall_Governance
0.0,0.0,0.0,0.0,0.0,1.36125,0.0,0.0,0.0,0.0
1.0101010101010102,0.01,0.01,0.02,0.015,1.36125,0.0006875000000000001,0.05,99.999979375,0.015708312500000477
2.0202020202020203,0.02,0.02,0.04,0.03,1.36125,0.004562500000000001,0.1,99.999863125,0.03238243749999955
3.0303030303030303,0.03,0.03,0.06,0.045,1.36125,0.011625000000000002,0.15000000000000002,99.99965125,0.05002237500000006
4.040404040404041,0.04,0.04,0.08,0.06,1.36125,0.021875000000000006,0.2,99.99934375,0.0686281250000006
5.050505050505051,0.05,0.05,0.1,0.075,1.36125,0.03531250000000001,0.25,99.998940625,0.08819968749999971
6.0606060606060606,0.060000000000000005,0.060000000000000005,0.12000000000000001,0.09,1.36125,0.05193750000000001,0.3,99.998441875,0.10873706250000026
7.070707070707071,0.07,0.07,0.14,0.105,1.36125,0.07175000000000001,0.35,99.9978475,0.1302402499999994
8.080808080808081,0.08,0.08,0.16,0.12,1.36125,0.09475000000000001,0.39999999999999997,99.9971575,0.15270925
9.090909090909092,0.09,0.09,0.18,0.135,1.36125,0.12093750000000002,0.44999999999999996,99.996371875,0.1761440625000006
10.101010101010102,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.15000000000000002,1.36125,0.15031250000000002,0.49999999999999994,99.995490625,0.2005446874999998
11.111111111111112,0.10999999999999999,0.10999999999999999,0.21999999999999997,0.16500000000000004,1.36125,0.182875,0.5499999999999999,99.99451375,0.2259111250000004
12.121212121212121,0.11999999999999998,0.11999999999999998,0.23999999999999996,0.18000000000000005,1.36125,0.218625,0.6,99.99344125,0.2522433749999996
13.131313131313131,0.12999999999999998,0.12999999999999998,0.25999999999999995,0.19500000000000006,1.36125,0.2575625,0.65,99.992273125,0.2795414375000003
14.141414141414142,0.13999999999999999,0.13999999999999999,0.27999999999999997,0.21000000000000008,1.36125,0.2996875,0.7000000000000001,99.991009375,0.3078053124999996
15.151515151515152,0.15,0.15,0.3,0.2250000000000001,1.36125,0.345,0.7500000000000001,99.98965,0.33703500000000025
16.161616161616163,0.16,0.16,0.32,0.2400000000000001,1.36125,0.39349999999999996,0.8000000000000002,99.988195,0.36723049999999957
17.171717171717173,0.17,0.17,0.34,0.2550000000000001,1.36125,0.44518749999999996,0.8500000000000002,99.986644375,0.39839181250000033
18.181818181818183,0.18000000000000002,0.18000000000000002,0.36000000000000004,0.27000000000000013,1.36125,0.5000625,0.9000000000000002,99.984998125,0.43051893749999964
19.191919191919194,0.19000000000000003,0.19000000000000003,0.38000000000000006,0.28500000000000014,1.36125,0.558125,0.9500000000000003,99.98325625,0.46361187500000045
20.202020202020204,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.30000000000000016,1.36125,0.619375,1.0000000000000002,99.98141875,0.4976706249999998
21.212121212121215,0.21000000000000005,0.21000000000000005,0.4200000000000001,0.31500000000000017,1.36125,0.6838125,1.0500000000000003,99.979485625,0.5326951875000006
22.222222222222225,0.22000000000000006,0.22000000000000006,0.4400000000000001,0.3300000000000002,1.36125,0.7514375000000001,1.1000000000000003,99.977456875,0.5686855625
