Time,Ethical_Compliance,Legal_Compliance,Land_Usage_Compliance,International_Law_Compliance,Overall_Compliance_Score,Project_Maturity_Level,Investment_Level,Safety_Score
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0101010101010102,0.01,0.01,0.02,0.015,0.01375,0.0006875000000000001,0.05,99.999979375
2.0202020202020203,0.02,0.02,0.04,0.03,0.0275,0.004562500000000001,0.1,99.999863125
3.0303030303030303,0.03,0.03,0.06,0.045,0.041249999999999995,0.011625000000000002,0.15000000000000002,99.99965125
4.040404040404041,0.04,0.04,0.08,0.06,0.055,0.021875000000000006,0.2,99.99934375
5.050505050505051,0.05,0.05,0.1,0.075,0.06875,0.03531250000000001,0.25,99.998940625
6.0606060606060606,0.060000000000000005,0.060000000000000005,0.12000000000000001,0.09,0.0825,0.05193750000000001,0.3,99.998441875
7.070707070707071,0.07,0.07,0.14,0.105,0.09625,0.07175000000000001,0.35,99.9978475
8.080808080808081,0.08,0.08,0.16,0.12,0.11,0.09475000000000001,0.39999999999999997,99.9971575
9.090909090909092,0.09,0.09,0.18,0.135,0.12375,0.12093750000000002,0.44999999999999996,99.996371875
10.101010101010102,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.15000000000000002,0.1375,0.15031250000000002,0.49999999999999994,99.995490625
11.111111111111112,0.10999999999999999,0.10999999999999999,0.21999999999999997,0.16500000000000004,0.15125,0.182875,0.5499999999999999,99.99451375
12.121212121212121,0.11999999999999998,0.11999999999999998,0.23999999999999996,0.18000000000000005,0.16499999999999998,0.218625,0.6,99.99344125
13.131313131313131,0.12999999999999998,0.12999999999999998,0.25999999999999995,0.19500000000000006,0.17875,0.2575625,0.65,99.992273125
14.141414141414142,0.13999999999999999,0.13999999999999999,0.27999999999999997,0.21000000000000008,0.1925,0.2996875,0.7000000000000001,99.991009375
15.151515151515152,0.15,0.15,0.3,0.2250000000000001,0.20625000000000002,0.345,0.7500000000000001,99.98965
16.161616161616163,0.16,0.16,0.32,0.2400000000000001,0.22000000000000003,0.39349999999999996,0.8000000000000002,99.988195
17.171717171717173,0.17,0.17,0.34,0.2550000000000001,0.23375000000000004,0.44518749999999996,0.8500000000000002,99.986644375
18.181818181818183,0.18000000000000002,0.18000000000000002,0.36000000000000004,0.27000000000000013,0.24750000000000005,0.5000625,0.9000000000000002,99.984998125
